SENSOR_ID	RUSPCBTHOFANLMK	Module_Number	PCB_Number	Lens_ID	Project	Version	Station	Test_Date(MM/DD/YYYY/Hour:Minute:Second)	Center	0.6Field_Top-Left	0.6Field_Top-Right	0.6Field_Bottom-Right	0.6Field_Bottom-Left	0.6Field_Ave	0.8Field_Top-Left	0.8Field_Top-Right	0.8Field_Bottom-Right	0.8Field_Bottom-Left	0.8Field_Ave	Left_Center	Right_Center	Color_Uniformity	Lens_shading	TpI_Cntr_Prtcle_No	TpI_Out_Prtcle_No	TpI_Cen_Mx_Prtcle_Sz	TpI_Out_Mx_Prtcle_Sz	TpII_Cntr_Prtcle_No	TpII_Out_Prtcle_No	TpII_Cen_Mx_Prtcle_Sz	TpII_Out_Mx_Prtcle_Sz	Blemish_result	Blemish_Crnr	Blemishh_Edge	Blemish_Intrnr	DarkCorner_result	DarkCorner	TV_Distortion_Result_0.75Field	TV_Distortion_Result_0.95Field	FOV_Shift_X	FOV_Tilt_X	FOV_Shift_Y	FOV_Tilt_Y	FOV_Rotate	Left_FOV	Right_FOV	Top_FOV	Bottom_FOV	R/G_Color_Ratio_TL	R/G_Color_Ratio_TR	R/G_Color_Ratio_BL	R/G_Color_Ratio_BR	B/G_Color_Ratio_TL	B/G_Color_Ratio_TR	B/G_Color_Ratio_BL	B/G_Color_Ratio_BR	Low_Light_Noise_AVG_GR	Low_Light_Noise_AVG_R	Low_Light_Noise_AVG_B	Low_Light_Noise_AVG_GB	Low_Light_Noise_STD_GR	Low_Light_Noise_STD_R	Low_Light_Noise_STD_B	Low_Light_Noise_STD_GB	Light_Leakage_Result	LCA_Center	0.6Field_LCA_Top-Left	0.6Field_LCA_Top-Right	0.6Field_LCA_Bottom-Right	0.6Field_LCA_Bottom-Left	0.8Field_LCA_Top-Left	0.8Field_LCA_Top-Right	0.8Field_LCA_Bottom-Right	0.8Field_LCA_Bottom-Left	LCA_Left-Center	LCA_Right-Center	Color_Calibration_Result	Cycle_Time_Calc_SFR	Cycle_Time_POS_Scan	Cycle_Time_Focus_Scan	Cycle_Time_SFR_Test	Cycle_Time_WhiteBoard_Test	Cycle_Time_Low_Light_Test	Total_Cycle_Time(seconds)	
325a83069c5e6624	-----------------O	L1314110197	0	D33N12085	FM30FF-368H-1	006	AOO	04/04/2013/00:07:54	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
b25aa0179e15d82e	-----------------O	L1314110043	0	D33N14660	FM30FF-368H-1	006	AOO	04/04/2013/00:08:28	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
225b7fa71f809e37	-----------------O	L1314110042	0	D33N20475	FM30FF-368H-1	006	AOO	04/04/2013/00:08:44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
12428a830ab54d74	-----------------O	L1314110041	0	D33N14503	FM30FF-368H-1	006	AOO	04/04/2013/00:09:01	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
9242ce2049366f32	-----------------O	L1314110040	0	D33N14658	FM30FF-368H-1	006	AOO	04/04/2013/00:09:45	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
0257cb41450a1acd	-----------------O	L1314110047	0	D33N14682	FM30FF-368H-1	006	AOO	04/04/2013/00:10:16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2256cb0c49760218	-----------------O	L1314110046	0	D33N14502	FM30FF-368H-1	006	AOO	04/04/2013/00:10:52	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
c242084af606ead7	-----------------O	L1314110045	0	D33N14676	FM30FF-368H-1	006	AOO	04/04/2013/00:11:33	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
c25eeb51ae16f539	-----------------O	L1314110044	0	D33N20462	FM30FF-368H-1	006	AOO	04/04/2013/00:12:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
324362e085a0221c	-----------------O	L1314110059	0	D33N15341	FM30FF-368H-1	006	AOO	04/04/2013/00:13:24	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
